| Object_ID |           x_center |           y_center | f1_id | f2_id |          separation |
|       133 |  555.5059273463567 | 134.06450945705876 |   299 |   314 |   1.308242073394181 |
|       134 |  672.5408686665273 |  134.3969875077289 |   301 |   315 |  1.3751341204525023 |
|       135 |  762.4516693061637 |  134.7516131045686 |   302 |   316 |  1.0417880250830314 |
|       136 |  326.4467047450996 |  135.5271419738852 |   303 |   318 |  1.4947685151324461 |
|       137 |    606.68120809777 | 135.68929443350984 |   304 |   324 |   1.364052098913719 |
|       138 |  474.9745079813492 |  136.3783444871446 |   306 |   321 |  1.3880186746517595 |
|       139 |  499.1269941407112 |   136.075984364243 |   307 |   322 |  1.4465465994974556 |
|       140 |  562.9792902376674 | 136.43118402560884 |   308 |   323 |  1.2747847255491684 |
|       141 | 224.82388841227453 |  138.2669575021677 |   310 |   329 |  1.1701036719784852 |
|       142 | 306.39332023721624 |  137.7695950611345 |   311 |   326 |  1.1198907410339445 |
|       143 | 373.37611932939717 | 137.23742530310622 |   312 |   327 |  1.4511118527845361 |
|       144 |  262.8097999420005 | 138.44621336998182 |   315 |   330 |  1.4445970874238323 |
|       145 |   513.569605980625 | 139.05273171520895 |   316 |   333 |  1.3612466903355325 |
|       146 |  702.5330251316102 |  139.0562083543738 |   319 |   334 |  1.3602318063774503 |
|       147 |  99.75154965538951 | 139.45799895229587 |   320 |   332 |   1.495581800138022 |
|       148 |  735.0803177508013 |  139.7138818019995 |   322 |   335 |  1.2146262328477369 |
|       149 |  618.4306119848632 | 141.07257649338717 |   327 |   341 |  1.3436329021099545 |
|       150 | 232.03122611036306 | 141.48542654463756 |   328 |   339 |   1.309258668257102 |
|       151 |  663.8610899194489 | 141.77961772418982 |   330 |   342 |  1.3015414328488881 |
|       152 |  226.1670544394946 | 142.27154669549952 |   331 |   343 |   1.219246603697953 |
|       153 |  714.8900447198413 |  142.4919176072853 |   332 |   345 |  1.3194602259785848 |
|       154 |  521.2710232016431 | 143.89295283078417 |   333 |   347 |  1.2732413698958487 |
|       155 |  676.0925131539682 | 143.08298297235905 |   334 |   348 |   1.382150607050714 |
|       156 |  684.1212531880369 | 143.05099930662868 |   335 |   349 |   1.321091390105475 |
|       157 |  691.7745379202102 | 143.64878505288033 |   336 |   350 |  1.3219355523154837 |
|       158 | 184.63903846392083 | 144.33457686080013 |   338 |   351 |  1.4934394517216312 |
|       159 |  627.6112700085952 | 144.49484152618408 |   342 |   352 |  1.3846165346358055 |
|       160 |  761.8535493888265 | 144.75076598529859 |   344 |   364 |  1.2155416583719318 |
|       161 |  797.5763011802928 | 144.74407631832003 |   345 |   354 |  1.1641267471009995 |
|       162 | 268.18413067533527 | 145.51775461546748 |   346 |   355 |   1.464665137812542 |
|       163 |  458.7671071611753 |  145.7435988284243 |   349 |   357 |   1.419396148760411 |
